title,authors,average_rating,rating,date_of_publication,descriptions,total_pages,no_of_books_by_author,author_followers,genres,no_of_reviews,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
The Grapes of Wrath,John Steinbeck,4.01,"901,027 rating","April 14, 1939","The Pulitzer Prize-winning epic of the Great Depression, a book that galvanized—and sometimes outraged—millions of readers.First published in 1939, Steinbeck’s Pulitzer Prize-winning epic of the Great Depression chronicles the Dust Bowl migration of the 1930s and tells the story of one Oklahoma farm family, the Joads—driven from their homestead and forced to travel west to the promised land of California. Out of their trials and their repeated collisions against the hard realities of an America divided into Haves and Have-Nots evolves a drama that is intensely human yet majestic in its scale and moral vision, elemental yet plainspoken, tragic but ultimately stirring in its human dignity. A portrait of the conflict between the powerful and the powerless, of one man’s fierce reaction to injustice, and of one woman’s stoical strength, the novel captures the horrors of the Great Depression and probes into the very nature of equality and justice in America. At once a naturalistic epic, captivity narrative, road novel, and transcendental gospel, Steinbeck’s powerful landmark novel is perhaps the most American of American Classics.",479,784,22.5k follower,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American']","23,712 review","379,060 (42%)","275,170 (30%)","154,069 (17%)","58,316 (6%)","34,412 (3%)"
One Hundred Years of Solitude,Gabriel García Márquez,4.11,"963,529 rating","January 1, 1967","The brilliant, bestselling, landmark novel that tells the story of the Buendia family, and chronicles the irreconcilable conflict between the desire for solitude and the need for love—in rich, imaginative prose that has come to define an entire genre known as ""magical realism.""",417,820,36.1k follower,"['Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction', 'Literary Fiction', 'Unfinished', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction', 'Literary Fiction', 'Unfinished', 'Magical Realism', 'Literature', 'Fantasy', 'Novels', 'Historical Fiction', 'Literary Fiction', 'Unfinished']","45,109 review","473,485 (49%)","257,082 (26%)","138,747 (14%)","56,780 (5%)","37,435 (3%)"
Brave New World,Aldous Huxley,3.99,"1,840,874 rating","January 1, 1932","Aldous Huxley's profoundly important classic of world literature, Brave New World is a searching vision of an unequal, technologically-advanced future where humans are genetically bred, socially indoctrinated, and pharmaceutically anesthetized to passively uphold an authoritarian ruling order–all at the cost of our freedom, full humanity, and perhaps also our souls. “A genius [who] who spent his life decrying the onward march of the Machine” (The New Yorker), Huxley was a man of incomparable talents: equally an artist, a spiritual seeker, and one of history’s keenest observers of human nature and civilization. Brave New World, his masterpiece, has enthralled and terrified millions of readers, and retains its urgent relevance to this day as both a warning to be heeded as we head into tomorrow and as thought-provoking, satisfying work of literature. Written in the shadow of the rise of fascism during the 1930s, Brave New Worldd likewise speaks to a 21st-century world dominated by mass-entertainment, technology, medicine and pharmaceuticals, the arts of persuasion, and the hidden influence of elites. ""Aldous Huxley is the greatest 20th century writer in English."" —Chicago Tribune",268,958,12.1k follower,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School']","46,963 review","672,215 (36%)","659,753 (35%)","365,155 (19%)","100,783 (5%)","42,968 (2%)"
Gone with the Wind,Margaret Mitchell,4.31,"1,204,349 rating","June 30, 1936","Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.",1037,214,"2,913 follower","['Historical Fiction', 'Fiction', 'Romance', 'Classics', 'Historical', 'Literature', 'War']","24,111 review","682,643 (56%)","305,512 (25%)","146,409 (12%)","42,724 (3%)","27,061 (2%)"
Of Mice and Men,John Steinbeck,3.88,"2,523,779 rating","February 25, 1937","
“I got you to look after me, and you got me to look after you, and that's why.”
They are an unlikely pair: George is ""small and quick and dark of face""; Lennie, a man of tremendous size, has the mind of a young child. Yet they have formed a ""family,"" clinging together in the face of loneliness and alienation. Laborers in California's dusty vegetable fields, they hustle work when they can, living a hand-to-mouth existence. But George and Lennie have a plan: to own an acre of land and a shack they can call their own.While the powerlessness of the laboring class is a recurring theme in Steinbeck's work of the late 1930s, he narrowed his focus when composing Of Mice and Men, creating an intimate portrait of two men facing a world marked by petty tyranny, misunderstanding, jealousy, and callousness. But though the scope is narrow, the theme is universal: a friendship and a shared dream that makes an individual's existence meaningful.A unique perspective on life's hardships, this story has achieved the status of timeless classic due to its remarkable success as a novel, a Broadway play, and three acclaimed films.",107,784,22.5k follower,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels']","51,931 review","830,185 (32%)","883,652 (35%)","568,099 (22%)","171,216 (6%)","70,627 (2%)"
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,"4,135,277 rating","July 8, 1999","Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school...",435,529,225k follower,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook', 'Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook', 'Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook']","82,814 review","2,836,836 (68%)","952,332 (23%)","282,711 (6%)","39,835 (<1%)","23,563 (<1%)"
The Giver,Lois Lowry,4.12,"2,453,926 rating","April 26, 1993","At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life.",208,168,21.1k follower,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']","78,712 review","1,077,238 (43%)","807,025 (32%)","412,049 (16%)","109,795 (4%)","47,819 (1%)"
Lord of the Flies,William Golding,3.69,"2,884,083 rating","September 17, 1954","At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”",182,141,"3,885 follower","['Fiction', 'Classics', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School']","55,153 review","790,997 (27%)","973,182 (33%)","712,930 (24%)","259,927 (9%)","147,047 (5%)"
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.10,"1,362,338 rating","March 31, 1969","Slaughterhouse-Five, an American classic, is one of the world’s great antiwar books. Centering on the infamous World War II firebombing of Dresden, the novel is the result of what Kurt Vonnegut described as a twenty-three-year struggle to write a book about what he had witnessed as an American prisoner of war. It combines historical fiction, science fiction, autobiography, and satire in an account of the life of Billy Pilgrim, a barber’s son turned draftee turned optometrist turned alien abductee. As Vonnegut had, Billy experiences the destruction of Dresden as a POW. Unlike Vonnegut, he experiences time travel, or coming “unstuck in time.” An instant bestseller, Slaughterhouse-Five made Kurt Vonnegut a cult hero in American literature, a reputation that only strengthened over time, despite his being banned and censored by some libraries and schools for content and language. But it was precisely those elements of Vonnegut’s writing—the political edginess, the genre-bending inventiveness, the frank violence, the transgressive wit—that have inspired generations of readers not just to look differently at the world around them but to find the confidence to say something about it.  Fifty years after its initial publication at the height of the Vietnam War, Vonnegut's portrayal of political disillusionment, PTSD, and postwar anxiety feels as relevant, darkly humorous, and profoundly affecting as ever, an enduring beacon through our own era’s uncertainties.",275,530,33.4k follower,"['Fiction', 'Science Fiction', 'Classics', 'Historical Fiction', 'War', 'Literature', 'Novels']","39,216 review","582,208 (42%)","458,598 (33%)","223,964 (16%)","64,735 (4%)","32,833 (2%)"
Lolita,Vladimir Nabokov,3.88,"843,682 rating","September 1, 1955","Librarian's note: Alternate cover edition of ISBN 9780141182537.Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Dolores Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.",368,638,13.3k follower,"['Classics', 'Fiction', 'Literature', 'Russia', 'Novels', 'Romance', 'Russian Literature', 'Classics', 'Fiction', 'Literature', 'Russia', 'Novels', 'Romance', 'Russian Literature', 'Classics', 'Fiction', 'Literature', 'Russia', 'Novels', 'Romance', 'Russian Literature']","39,331 review","294,265 (34%)","278,229 (32%)","177,628 (21%)","60,499 (7%)","33,061 (3%)"
East of Eden,John Steinbeck,4.41,"534,163 rating","January 1, 1952","In his journal, Nobel Prize winner John Steinbeck called East of Eden “the first book,” and indeed it has the primordial power and simplicity of myth. Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel.Adam Trask came to California from the East to farm and raise his family on the new rich land. But the birth of his twins, Cal and Aaron, brings his wife to the brink of madness, and Adam is left alone to raise his boys to manhood. One boy thrives nurtured by the love of all those around him; the other grows up in loneliness enveloped by a mysterious darkness.First published in 1952, East of Eden is the work in which Steinbeck created his most mesmerizing characters and explored his most enduring themes: the mystery of identity, the inexplicability of love, and the murderous consequences of love's absence. A masterpiece of Steinbeck's later years, East of Eden is a powerful and vastly ambitious novel that is at once a family saga and a modern retelling of the Book of Genesis.",601,784,22.5k follower,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction']","28,955 review","316,792 (59%)","144,367 (27%)","54,103 (10%)","13,062 (2%)","5,839 (1%)"
The Handmaid’s Tale,Margaret Atwood,4.14,"2,026,770 rating","January 1, 1985","Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now…Funny, unexpected, horrifying, and altogether convincing, The Handmaid's Tale is at once scathing satire, dire warning, and tour de force.",314,591,81.2k follower,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult']","95,320 review","875,375 (43%)","716,147 (35%)","309,860 (15%)","84,587 (4%)","40,801 (2%)"
The Fellowship of the Ring,J.R.R. Tolkien,4.39,"2,792,015 rating","July 29, 1954","Alternate Cover Edition ISBN 0618260269 (copyright page ISBN is 0618346252 - different from back cover)One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.--back cover",398,585,70.5k follower,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy', 'Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']","38,786 review","1,670,262 (59%)","717,497 (25%)","278,084 (9%)","74,853 (2%)","51,319 (1%)"
One Flew Over the Cuckoo's Nest,Ken Kesey,4.20,"729,056 rating","January 1, 1962","Alternate cover edition of ISBN 9780451163967Tyrannical Nurse Ratched rules her ward in an Oregon State mental hospital with a strict and unbending routine, unopposed by her patients, who remain cowed by mind-numbing medication and the threat of electric shock therapy. But her regime is disrupted by the arrival of McMurphy – the swaggering, fun-loving trickster with a devilish grin who resolves to oppose her rules on behalf of his fellow inmates. His struggle is seen through the eyes of Chief Bromden, a seemingly mute half-Indian patient who understands McMurphy's heroic attempt to do battle with the powers that keep them imprisoned. Ken Kesey's extraordinary first novel is an exuberant, ribald and devastatingly honest portrayal of the boundaries between sanity and madness.",325,71,"2,575 follower","['Fiction', 'Classics', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']","15,791 review","322,714 (44%)","267,468 (36%)","107,849 (14%)","22,732 (3%)","8,293 (1%)"
The Stranger,Albert Camus,4.02,"1,076,565 rating","May 19, 1942","Published in 1942 by French author Albert Camus, The Stranger has long been considered a classic of twentieth-century literature. Le Monde ranks it as number one on its ""100 Books of the Century"" list. Through this story of an ordinary man unwittingly drawn into a senseless murder on a sundrenched Algerian beach, Camus explores what he termed ""the nakedness of man faced with the absurd.""",159,843,30k follower,"['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature', 'Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature', 'Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature']","48,172 review","396,973 (36%)","398,770 (37%)","206,815 (19%)","54,604 (5%)","19,403 (1%)"
Memoirs of a Geisha,Arthur Golden,4.15,"1,991,966 rating","January 1, 1997","A literary sensation and runaway bestseller, this brilliant novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.In ""Memoirs of a Geisha,"" we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable.",503,11,"2,716 follower","['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Historical', 'Japan', 'Adult']","35,755 review","859,377 (43%)","703,131 (35%)","326,818 (16%)","72,812 (3%)","29,828 (1%)"
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,"321,880 rating","January 17, 1996","At last in paperback in one complete volume, here are the five novels from Douglas Adams's Hitchhiker series. ""The Hitchhiker's Guide to the Galaxy""Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.""The Restaurant at the End of the Universe""Facing annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.""Life, the Universe and Everything""The unhappy inhabitants of planet Krikkit are sick of looking at the night sky- so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.""So Long, and Thanks for All the Fish""Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription conspires to thrust him back to reality. So to speak.""Mostly Harmless""Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?Also includes the short story ""Young Zaphod Plays It Safe"".",815,177,22.3k follower,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy']","6,306 review","186,764 (58%)","87,950 (27%)","34,548 (10%)","8,728 (2%)","3,890 (1%)"
